#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 1
1 22 1
1 23 1
1 24 1
1 25 1
1 26 1
1 27 0.999999
1 28 0.999999
1 29 0.999995
1 30 0.999986
1 31 0.999957
1 32 0.99987
1 33 0.999605
1 34 0.998795
1 35 0.996332
1 36 0.988867
1 37 0.966549
1 38 0.902705
1 39 0.742443
1 40 0.461059
1 41 0.212417
1 42 0.083175
1 43 0.0304788
1 44 0.0108989
1 45 0.00386363
1 46 0.00136543
1 47 0.000481979
1 48 0.000170084
1 49 6.02108e-05
1 50 2.19869e-05
1 51 1.00022e-05

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 1
2 22 1
2 23 1
2 24 1
2 25 1
2 26 1
2 27 1
2 28 0.999998
2 29 0.999995
2 30 0.999986
2 31 0.999956
2 32 0.999866
2 33 0.999592
2 34 0.998758
2 35 0.996222
2 36 0.988543
2 37 0.965613
2 38 0.900173
2 39 0.736848
2 40 0.454098
2 41 0.208165
2 42 0.0813494
2 43 0.029794
2 44 0.0106543
2 45 0.00377771
2 46 0.00133543
2 47 0.000471531
2 48 0.000166446
2 49 5.89403e-05
2 50 2.15295e-05
2 51 9.7971e-06

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 1
3 19 1
3 20 1
3 21 1
3 22 1
3 23 1
3 24 1
3 25 1
3 26 1
3 27 0.999999
3 28 0.999998
3 29 0.999995
3 30 0.999985
3 31 0.999953
3 32 0.999857
3 33 0.999566
3 34 0.99868
3 35 0.995991
3 36 0.987865
3 37 0.963664
3 38 0.894928
3 39 0.725399
3 40 0.44026
3 41 0.199861
3 42 0.0778076
3 43 0.0284683
3 44 0.0101808
3 45 0.00361143
3 46 0.00127736
3 47 0.000451294
3 48 0.000159397
3 49 5.64775e-05
3 50 2.06426e-05
3 51 9.39926e-06

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 1
4 18 1
4 19 1
4 20 1
4 21 1
4 22 1
4 23 1
4 24 1
4 25 1
4 26 1
4 27 1
4 28 0.999998
4 29 0.999994
4 30 0.999983
4 31 0.999948
4 32 0.999843
4 33 0.999523
4 34 0.998554
4 35 0.995618
4 36 0.986772
4 37 0.960535
4 38 0.886588
4 39 0.707596
4 40 0.419756
4 41 0.187898
4 42 0.0727591
4 43 0.0265849
4 44 0.00950874
4 45 0.0033753
4 46 0.00119486
4 47 0.000422523
4 48 0.000149368
4 49 5.29712e-05
4 50 1.93789e-05
4 51 8.83201e-06

5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
5 11 1
5 12 1
5 13 1
5 14 0.999999
5 15 1
5 16 0.999999
5 17 1
5 18 0.999999
5 19 1
5 20 1
5 21 1
5 22 1
5 23 1
5 24 1
5 25 1
5 26 1
5 27 0.999999
5 28 0.999998
5 29 0.999993
5 30 0.99998
