#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 0.999999
1 20 0.999998
1 21 0.999994
1 22 0.999982
1 23 0.999944
1 24 0.999831
1 25 0.999485
1 26 0.998434
1 27 0.995242
1 28 0.985607
1 29 0.957015
1 30 0.876732
1 31 0.685811
1 32 0.394693
1 33 0.173189
1 34 0.0664036
1 35 0.0241181
1 36 0.00857297
1 37 0.00301518
1 38 0.00105216
1 39 0.000364322
1 40 0.000125149
1 41 4.2662e-05
1 42 1.44461e-05
1 43 4.86616e-06
1 44 1.63312e-06
1 45 5.46807e-07
1 46 1.82837e-07
1 47 6.1094e-08
1 48 2.04138e-08
1 49 6.84179e-09
1 50 2.35939e-09
1 51 1.01275e-09

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 0.999999
2 20 0.999998
2 21 0.999994
2 22 0.999981
2 23 0.999942
2 24 0.999824
2 25 0.999464
2 26 0.998373
2 27 0.995066
2 28 0.985093
2 29 0.955564
2 30 0.87296
2 31 0.678207
2 32 0.386911
2 33 0.168958
2 34 0.0646732
2 35 0.0234827
2 36 0.00834877
2 37 0.00293738
2 38 0.00102541
2 39 0.000355202
2 40 0.000122066
2 41 4.16288e-05
2 42 1.41027e-05
2 43 4.75277e-06
2 44 1.59587e-06
2 45 5.34607e-07
2 46 1.78849e-07
2 47 5.97909e-08
2 48 1.9988e-08
2 49 6.70222e-09
2 50 2.31236e-09
2 51 9.93045e-10

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 1
3 19 0.999999
3 20 0.999998
3 21 0.999993
3 22 0.999979
3 23 0.999937
3 24 0.999809
3 25 0.999421
3 26 0.998245
3 27 0.994689
3 28 0.984002
3 29 0.952495
3 30 0.865061
3 31 0.662608
3 32 0.371479
3 33 0.160706
3 34 0.0613187
3 35 0.0222528
3 36 0.00791488
3 37 0.00278672
3 38 0.000973588
3 39 0.000337521
3 40 0.000116085
3 41 3.96231e-05
3 42 1.34355e-05
3 43 4.5323e-06
3 44 1.52338e-06
3 45 5.10847e-07
3 46 1.71074e-07
3 47 5.72489e-08
3 48 1.91567e-08
3 49 6.42953e-09
3 50 2.22041e-09
3 51 9.54478e-10

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 1
4 18 1
4 19 0.999999
4 20 0.999997
4 21 0.999992
4 22 0.999976
4 23 0.999928
4 24 0.999784
4 25 0.999347
4 26 0.99803
4 27 0.994064
4 28 0.982198
4 29 0.947455
4 30 0.852294
4 31 0.638321
4 32 0.348745
4 33 0.148872
4 34 0.0565526
4 35 0.0205099
4 36 0.00730002
4 37 0.00257307
4 38 0.000900021
4 39 0.000312395
4 40 0.000107576
4 41 3.67664e-05
4 42 1.24841e-05
4 43 4.21754e-06
4 44 1.41974e-06
4 45 4.76832e-07
4 46 1.59929e-07
4 47 5.35998e-08
4 48 1.79618e-08
4 49 6.03704e-09
4 50 2.08788e-09
4 51 8.98822e-10

5 1 1
